@vocab
la piazza | noun | f | square | piazze
la chiesa | noun | f | church | chiese
la farmacia | noun | f | pharmacy | farmacie
il panificio | noun | m | bakery | panifici
la stazione | noun | f | station | stazioni
il supermercato | noun | m | supermarket | supermercati
il parco | noun | m | park | parchi
il bar | noun | m | bar, café | 
la mappa | noun | f | map | mappe
la strada | noun | f | street, road | strade
il negozio | noun | m | shop | negozi
il centro | noun | m | centre, town centre | centri
il treno | noun | m | train | treni
in ritardo | expression | | late, delayed | 
il cartello | noun | m | sign, notice | cartelli
il cancello | noun | m | gate | cancelli
il binario | noun | m | platform, track | binari
il capo | noun | m | boss | capi
la fontana | noun | f | fountain | fontane
il municipio | noun | m | town hall | municipi
c'è | verb | | there is | 
ci sono | verb | | there are | 
dov'è | adverb | | where is | 
la passeggiata | noun | f | walk, stroll | passeggiate
il pane | noun | m | bread | pani
la medicina | noun | f | medicine | medicine
@end

# SCENE casa-carter | sabato mattina | ben, chiara, leo
LEO: Una foto con le parole. Strano. || A photo with words. Strange.
CHIARA [putting on her shoes]: Ben, tu e Leo oggi che cosa fate? || Ben, what are you and Leo doing today?
BEN: Noi facciamo una **mappa** di Borgoverde. || We're making a **map** of Borgoverde.
CHIARA [fast, at the door]: Bene. Ciao! || Good. Bye!
BEN: Ciao. In bocca al lupo! || Bye. Good luck!
CHIARA: Crepi. Ciao a tutti. || Thanks. Bye, everyone.
NARRATOR: La porta si chiude. Chiara corre verso la **stazione**. || The door closes. Chiara runs toward the **station**.
LEO: Papà, perché una **mappa**? || Dad, why a map?
BEN: Perché noi non conosciamo la città. **Dov'è** il **supermercato**? Non so. **Dov'è** il **parco**? Non so. || Because we don't know the city. **Where's** the **supermarket**? I don't know. **Where's** the **park**? I don't know.
LEO: Ah. E allora? || Ah. And so?
BEN [grand, like a campaign]: Allora oggi noi facciamo una **passeggiata**. Con la **mappa**. Io e te. || So today we're taking a **walk**. With the **map**. You and me.
NARRATOR: Ben prende il quaderno. Sul quaderno scrive una parola grande: MAPPA. || Ben takes the notebook. In the notebook he writes one big word: MAP.
LEO: Io e te! **Perfetto**! || You and me! **Perfect**!
BEN: **C'è** una **piazza** a Borgoverde? **C'è** una **chiesa**? Noi lo scopriamo. || **Is there** a **square** in Borgoverde? **Is there** a **church**? We find out.
LEO: E **c'è** una **farmacia**? || And **is there** a **pharmacy**?
BEN: Sì, certo. **C'è** una **farmacia**. || Yes, of course. **There's** a **pharmacy**.
LEO: E **c'è** un **panificio**? Io voglio il **pane**. || And **is there** a **bakery**? I want **bread**.
BEN: **C'è** un **panificio**, sì. E **c'è** anche la **stazione**. || **There's** a **bakery**, yes. And **there's** also the **station**.
NARRATOR: Leo alza le mani. Vuole dire una cosa importante. || Leo raises his hands. He wants to say something important.
LEO: E **c'è** un **bar**? || And **is there** a **bar**?
BEN: Sì. **C'è** un **bar**. Ma noi cerchiamo la **piazza**, la **chiesa**, la **farmacia**, il **panificio**, la **stazione**, il **supermercato**, il **parco**... || Yes. **There's** a **bar**. But we're looking for the **square**, the **church**, the **pharmacy**, the **bakery**, the **station**, the **supermarket**, the **park**...
NARRATOR: Ben conta con le dita. Le dita non bastano. || Ben counts on his fingers. His fingers aren't enough.
LEO: E il **municipio**? || And the **town hall**?
BEN: Bravo! **C'è** anche il **municipio**. || Good! **There's** also the **town hall**.
LEO: E **ci sono** i **cancelli**? || And **are there** **gates**?
BEN: I **cancelli**? Leo, **ci sono** tanti **cancelli** in una città. || **Gates**? Leo, **there are** lots of **gates** in a city.
NARRATOR: Leo conta le cose: uno, due, tre. Le dita sono poche. || Leo counts the things: one, two, three. His fingers aren't enough.
LEO: E la **strada**? **C'è** la **strada**? || And the **street**? **Is there** the **street**?
BEN: Sì. Grandi **strade**, piccole **strade**. Il **centro** è pieno di **strade**. || Yes. Big **streets**, small **streets**. The **centre** is full of **streets**.
LEO: Papà, **ci sono** le **strade** con i nomi? || Dad, **are there** **streets** with names?
BEN: Sì. Noi abitiamo in Via dei Tigli. Via dei Tigli è una **strada**. || Yes. We live on Via dei Tigli. Via dei Tigli is a **street**.
NARRATOR: Ben scrive sul quaderno: strada, piazza, chiesa. Leo guarda. || Ben writes in the notebook: street, square, church. Leo watches.
LEO: E **ci sono** i **treni**? || And **are there** trains?
BEN: Sì, **ci sono** i **treni**. La **stazione** è vicina. || Yes, **there are** trains. The **station** is near.
LEO: I **treni** sono veloci? || Are the trains fast?
BEN: A volte. A volte sono **in ritardo**. || Sometimes. Sometimes they're **late**.
LEO: Ah. Allora la **mappa** è meglio di un GPS. || Ah. So the **map** is better than a GPS.
BEN [proud]: Sì! La **mappa** è meglio. || Yes! The **map** is better.
NARRATOR: Leo prende la matita. Disegna un cerchio sul foglio. || Leo takes the pencil. He draws a circle on the sheet.
LEO: Papà, **dov'è** la **farmacia**? **Dov'è** il **supermercato**? || Dad, **where's** the **pharmacy**? **Where's** the **supermarket**?
BEN: Non so. Per questo facciamo la **mappa**. || I don't know. That's why we're making the **map**.
LEO: Ah! E **dov'è** il **bar**? || Ah! And **where's** the **bar**?
BEN [laughing]: Il **bar** è in fondo alla **strada**. Noi conosciamo bene il **bar**. || The **bar** is at the end of the **street**. We know the **bar** well.
LEO: Il **bar** è il primo. Perché nel **bar** **ci sono** i cornetti. || The **bar** is first. Because in the **bar** **there are** croissants.
BEN: Allora... la **piazza** è la prima cosa. La **piazza** e la **chiesa**. || So... the **square** is the first thing. The **square** and the **church**.
NARRATOR: Leo disegna un quadrato. Poi un altro cerchio. Poi una linea. || Leo draws a square. Then another circle. Then a line.
LEO: Ma la **mappa** serve? || But is the **map** useful?
NARRATOR: Ben non risponde. Ben mette il quaderno nella tasca. || Ben doesn't answer. Ben puts the notebook in his pocket.
BEN [bright]: **Perfetto**! Noi andiamo! || **Perfect**! Let's go!
LEO: ...**Perfetto**. Ma la **mappa** serve? || ...**Perfect**. But is the **map** useful?
NARRATOR: Ben è già sulla porta. Leo prende la matita e segue il papà. || Ben is already at the door. Leo takes his pencil and follows his dad.

# CONFESSIONALE ben
BEN [warm, to camera]: Ciao. Sono Ben. || Hi. I'm Ben.
BEN: Oggi parlo di una cosa importante: la **mappa**. || Today I'm talking about an important thing: the **map**.
BEN: Una città nuova è come... un lavoro nuovo. Tu vuoi un piano. || A new city is like... a new job. You want a plan.
NARRATOR: Ben apre il quaderno e lo mostra alla telecamera. || Ben opens the notebook and shows it to the camera.
BEN: Questo è il mio quaderno. La parola di oggi è **mappa**. || This is my notebook. Today's word is **map**.
BEN: Su Via dei Tigli **c'è** la mia casa. Al numero quattordici. || On Via dei Tigli **there's** my house. At number fourteen.
BEN: E **c'è** la casa di Franco. **C'è** la casa della signora Galli. || And **there's** Franco's house. **There's** Signora Galli's house.
BEN: E **c'è** il **bar**. Il **bar** è la cosa più importante. || And **there's** the **bar**. The **bar** is the most important thing.
BEN: Ma **dov'è** la **piazza**? Non lo so. || But **where's** the **square**? I don't know.
BEN: **Dov'è** la **chiesa**? Non lo so. || **Where's** the **church**? I don't know.
BEN: **Dov'è** il **supermercato**? Mah. || **Where's** the **supermarket**? Hmm.
BEN: E **ci sono** tante strade. Troppe strade. || And **there are** lots of streets. Too many streets.
BEN: Allora oggi io e Leo facciamo una **passeggiata**. || So today Leo and I are taking a **walk**.
BEN: Una **passeggiata** con la **mappa**. Una **passeggiata** e una **mappa**. || A **walk** with the **map**. A **walk** and a **map**.
BEN [proud]: **Perfetto**. Tutto sotto controllo. || **Perfect**. Everything under control.
NARRATOR: Ben chiude il quaderno. Poi lo apre di nuovo. || Ben closes the notebook. Then he opens it again.
BEN [quieter]: ...Ma **dov'è** il **supermercato**? || ...But **where's** the **supermarket**?
BEN: Va bene. Lo scopriamo oggi. Con la **mappa**. || All right. We find out today. With the **map**.

# SCENE piazza | sabato mattina | ben, leo
NARRATOR: Ben e Leo camminano su Via dei Tigli. La **strada** è lunga e tranquilla. || Ben and Leo walk along Via dei Tigli. The **street** is long and quiet.
BEN: Leo, guarda. Noi camminiamo. Questa è una **passeggiata**. || Leo, look. We're walking. This is a **walk**.
LEO: Una **passeggiata** con la **mappa**. || A **walk** with the **map**.
BEN: Sì. Una **passeggiata** e una **mappa**. || Yes. A **walk** and a **map**.
NARRATOR: Dopo dieci minuti la **strada** finisce. Davanti a loro **c'è** la **piazza**. || After ten minutes the **street** ends. In front of them **there's** the **square**.
LEO [gasping]: Oh! Papà! **C'è** una **piazza**! || Oh! Dad! **There's** a **square**!
BEN: **C'è** una **piazza**. Bravo, Leo. || **There's** a **square**. Good, Leo.
NARRATOR: La **piazza** è grande e grigia. **C'è** una **chiesa** con un campanile. || The **square** is big and grey. **There's** a **church** with a bell tower.
LEO: **C'è** una **chiesa**! || **There's** a **church**!
BEN: Sì. Una **chiesa** antica. || Yes. An old **church**.
LEO: E **c'è** una **fontana**! Guarda, l'acqua! || And **there's** a **fountain**! Look, the water!
BEN: Una **fontana** piccola. Molto... bella. || A small **fountain**. Very... nice.
LEO: Papà, "molto bella"? In italiano si dice "bella". || Dad, "molto bella"? In Italian you say "bella".
BEN: Ah. Bene. Grazie. || Ah. Good. Thanks.
NARRATOR: Leo conta con le dita. Uno, due, tre. || Leo counts on his fingers. One, two, three.
LEO: **C'è** una **chiesa**, **c'è** una **fontana**, e... che cos'è quello? || **There's** a **church**, **there's** a **fountain**, and... what's that?
BEN: Quello è il **municipio**. La casa della città. || That's the **town hall**. The house of the city.
LEO: Il **municipio**. E **c'è** un **cartello**! || The **town hall**. And **there's** a **sign**!
BEN: Sì. Un **cartello** con le parole. || Yes. A **sign** with words.
NARRATOR: Il **cartello** è sopra il **cancello** del **parco**. || The **sign** is above the **gate** of the **park**.
LEO: E questo è un **cancello**. || And this is a **gate**.
BEN: Un **cancello** del **parco**. **C'è** un **parco** qui, Leo! || A **gate** of the **park**. **There's** a **park** here, Leo!
LEO [excited]: Un **parco**! **Ci sono** gli alberi? || A **park**! **Are there** trees?
BEN: Sì. Nel **parco** **ci sono** gli alberi. || Yes. In the **park** **there are** trees.
NARRATOR: Leo guarda dentro il **cancello**. Vede gli alberi e una panchina. || Leo looks inside the **gate**. He sees trees and a bench.
LEO: **Ci sono** gli alberi. E **c'è** una panchina. || **There are** trees. And **there's** a bench.
BEN: Perfetto. Allora, nel **parco** **c'è** la panchina. || Perfect. So, in the **park** **there's** the bench.
NARRATOR: Ben scrive sul quaderno: piazza, chiesa, fontana, municipio, parco. || Ben writes in the notebook: square, church, fountain, town hall, park.
LEO: Papà, e **c'è** un **negozio** in **piazza**? || Dad, and **is there** a **shop** in the **square**?
BEN: Guardiamo. || Let's look.
NARRATOR: Sul lato della **piazza** **c'è** una porta con un **cartello** piccolo. || On the side of the **square** **there's** a door with a small **sign**.
LEO: Che cos'è? || What is it?
BEN: È un **panificio**! Un **negozio** di **pane**. || It's a **bakery**! A **shop** of **bread**.
LEO: Un **panificio**! Io voglio il **pane**! || A **bakery**! I want **bread**!
NARRATOR: Entrano nel **panificio**. Dentro c'è un signore con un grembiule. || They go into the **bakery**. Inside there's a man with an apron.
BEN [careful]: Buongiorno. Un **pane**, per favore. || Good morning. One **bread**, please.
NARRATOR: Il signore dà a Ben un **pane** caldo. Ben paga. || The man gives Ben a warm **bread**. Ben pays.
LEO: Grazie! Il **pane** è caldo! || Thank you! The **bread** is warm!
BEN: Il **pane** del **panificio** è buono. Scrivo: panificio. || The **bread** from the **bakery** is good. I write: bakery.
NARRATOR: Ben scrive sul quaderno. Leo legge la parola. || Ben writes in the notebook. Leo reads the word.
LEO: Pa-ni-fi-cio. Con la "ci". || Ba-ke-ry. With the "ci".
BEN: Panificio. || Bakery.
LEO: No, papà. Panificio. La "ci" è dolce. || No, dad. Panificio. The "ci" is soft.
BEN: Panificio. Così? || Bakery. Like this?
LEO: Sì! Bravo! || Yes! Good!
NARRATOR: Camminano intorno alla **fontana**. L'acqua fa un rumore tranquillo. || They walk around the **fountain**. The water makes a quiet sound.
LEO: Papà, **dov'è** il **supermercato**? || Dad, **where's** the **supermarket**?
BEN: Mah. Non lo so. || Hmm. I don't know.
LEO: E **dov'è** la **medicina**? || And **where's** the **medicine**?
BEN: La **medicina**? Leo, la **medicina** è nella **farmacia**. || **Medicine**? Leo, **medicine** is in the **pharmacy**.
LEO: E **dov'è** la **farmacia**? || And **where's** the **pharmacy**?
BEN: Non lo so. Lo scopriamo oggi. || I don't know. We find out today.
LEO: E **dov'è** la **stazione**? || And **where's** the **station**?
BEN: La **stazione** è vicina a casa. Lo so. || The **station** is near home. That I know.
NARRATOR: Si siedono su una panchina vicino alla **fontana**. Ben apre il quaderno. || They sit on a bench near the **fountain**. Ben opens the notebook.
BEN: Allora. La **mappa**. Disegna tu, Leo. || So. The **map**. You draw, Leo.
LEO: Io disegno la **piazza** e la **chiesa**. || I'm drawing the **square** and the **church**.
BEN: E la **fontana**? || And the **fountain**?
LEO: Sì. La **fontana** è un cerchio. || Yes. The **fountain** is a circle.
NARRATOR: Leo disegna un cerchio grande. Poi un quadrato. Poi una linea lunga. || Leo draws a big circle. Then a square. Then a long line.
BEN: E il **parco**? || And the **park**?
LEO: Il **parco** è verde. Ma io ho una matita nera. || The **park** is green. But I have a black pencil.
BEN: Va bene. Il **parco** è un rettangolo. || All right. The **park** is a rectangle.
LEO: Papà, e il **bar**? || Dad, and the **bar**?
BEN: Il **bar** è in Via dei Tigli. Non è in **piazza**. || The **bar** is on Via dei Tigli. It's not in the **square**.
LEO: Ma il **bar** è importante! || But the **bar** is important!
BEN: Sì, il **bar** è importante. Ma la **mappa** è della **piazza**. || Yes, the **bar** is important. But the **map** is of the **square**.
LEO: Nel **bar** **ci sono** i cornetti. I cornetti sono importanti. || In the **bar** **there are** croissants. Croissants are important.
BEN [laughing]: Va bene, va bene. Il **bar** è importante. || All right, all right. The **bar** is important.
NARRATOR: Leo disegna una tazzina piccola in un angolo del foglio. || Leo draws a small cup in a corner of the sheet.
LEO: Ecco il **bar**. Con il caffè. || Here's the **bar**. With the coffee.
BEN: Ma il **bar** non è in **piazza**! || But the **bar** isn't in the **square**!
LEO: Lo so. Ma la **mappa** è sbagliata senza il **bar**. || I know. But the **map** is wrong without the **bar**.
NARRATOR: Ben guarda il foglio. Poi guarda la **piazza**. Poi guarda Leo. || Ben looks at the sheet. Then he looks at the **square**. Then he looks at Leo.
BEN: La **mappa** è sbagliata senza il **bar**? || The **map** is wrong without the **bar**?
LEO [serious]: Sì. Il **bar** è la cosa più importante della **strada**. || Yes. The **bar** is the most important thing on the **street**.
BEN: ...Va bene. Mettiamo il **bar**. || ...All right. Let's put the **bar** in.
LEO: **Perfetto**! || **Perfect**!
NARRATOR: Leo disegna la tazzina più grande. Adesso è chiaro: c'è un **bar** sulla **mappa**. || Leo draws the cup bigger. Now it's clear: there's a **bar** on the **map**.
BEN: Adesso la **mappa** è giusta? || Now is the **map** right?
LEO: No. Adesso è meglio. Ma **dov'è** il **supermercato**? || No. Now it's better. But **where's** the **supermarket**?
BEN: Oggi non lo sappiamo. || Today we don't know.
LEO: E **dov'è** la **medicina**? || And **where's** the **medicine**?
BEN: La **medicina** è nella **farmacia**. E la **farmacia**... andiamo a cercarla. || **Medicine** is in the **pharmacy**. And the **pharmacy**... let's go and look for it.
NARRATOR: Si alzano dalla panchina. Leo prende il **pane** e la **mappa**. || They get up from the bench. Leo takes the **bread** and the **map**.
LEO: Papà, il **pane** è caldo. || Dad, the **bread** is warm.
BEN: Sì. Il **pane** del **panificio** è caldo e buono. || Yes. The **bread** from the **bakery** is warm and good.
LEO: E il **bar** ha i cornetti. || And the **bar** has croissants.
BEN: Leo, basta con il **bar**! || Leo, enough with the **bar**!
LEO [laughing]: **C'è** il **bar** sulla **mappa**. Ora **c'è** tutto. || **There's** the **bar** on the **map**. Now **there's** everything.
BEN: Quasi tutto. **Ci sono** ancora la **farmacia**, il **supermercato** e la **stazione**. || Almost everything. **There are** still the **pharmacy**, the **supermarket** and the **station**.
NARRATOR: Escono dalla **piazza**. Davanti al **municipio** **c'è** un **cartello** nuovo. || They leave the **square**. In front of the **town hall** **there's** a new **sign**.
LEO: Papà, guarda. Un altro **cartello**. || Dad, look. Another **sign**.
BEN: Leggo io. È... un **cartello** del Comitato. || I'll read it. It's... a **sign** from the Committee.
LEO: Che cosa dice? || What does it say?
BEN: Non lo so. Ma è un **cartello** molto... formale. || I don't know. But it's a very... formal **sign**.
LEO: Ci sono parole strane. || There are strange words.
BEN: Sì. Parole strane. Le scrivo sul quaderno. || Yes. Strange words. I'll write them in the notebook.
NARRATOR: Ben copia le parole del **cartello**. Leo mangia un pezzo di **pane**. || Ben copies the words from the **sign**. Leo eats a piece of **bread**.
LEO: Papà, andiamo alla **farmacia**? || Dad, shall we go to the **pharmacy**?
BEN: Sì. Andiamo alla **farmacia**. || Yes. Let's go to the **pharmacy**.
LEO: E dopo il **bar**? || And afterwards the **bar**?
BEN [sighing]: Dopo, il **bar**. || Afterwards, the **bar**.

# SCENE farmacia | sabato mattina | ben, leo, nadia
NARRATOR: La **farmacia** è in una **strada** vicino alla **piazza**. **C'è** una croce verde sopra la porta. || The **pharmacy** is on a **street** near the **square**. **There's** a green cross above the door.
LEO: Papà, **c'è** una croce verde! || Dad, **there's** a green cross!
BEN: Sì. La croce verde è la **farmacia**. || Yes. The green cross is the **pharmacy**.
LEO: Allora **c'è** la **farmacia** sulla **mappa**! || So **there's** the **pharmacy** on the **map**!
BEN: Bravo. Scrivo: **farmacia**. || Good. I write: **pharmacy**.
NARRATOR: Ben scrive sul quaderno. Leo guarda la porta. || Ben writes in the notebook. Leo looks at the door.
LEO: Entriamo? || Shall we go in?
BEN: Sì. Entriamo. Ma con calma. || Yes. Let's go in. But slowly.
NARRATOR: Dentro la **farmacia** c'è una signora dietro il banco. È Nadia. || Inside the **pharmacy** there's a woman behind the counter. It's Nadia.
NADIA [dry, friendly]: Buongiorno, signor Carter. Buongiorno, Leo. || Good morning, Mr Carter. Good morning, Leo.
BEN: Buongiorno, Nadia! Tu lavori qui? || Good morning, Nadia! You work here?
NADIA: Sì. Io sono la farmacista. Questa è la **farmacia** del **centro**. || Yes. I'm the pharmacist. This is the **pharmacy** of the **centre**.
BEN: La **farmacia** del **centro**. Capito. || The **pharmacy** of the **centre**. Got it.
NARRATOR: Leo si alza sulle punte dei piedi. Guarda gli scaffali. || Leo stands on tiptoe. He looks at the shelves.
LEO: Nadia, **c'è** la **medicina** qui? || Nadia, **is there** **medicine** here?
NADIA: Sì. Qui **c'è** la **medicina**. E **ci sono** tante cose. || Yes. Here **there's** **medicine**. And **there are** lots of things.
LEO: **Ci sono** le **medicine** per i gatti? || **Are there** **medicines** for cats?
NADIA [deadpan]: Per i gatti **c'è** una **medicina** speciale. Perché? || For cats **there's** a special **medicine**. Why?
LEO: Per Pavarotti. Il gatto della signora Galli. || For Pavarotti. Signora Galli's cat.
NADIA: Ah. Pavarotti. Il gatto più grasso di Borgoverde. || Ah. Pavarotti. The fattest cat in Borgoverde.
LEO: Sì! È molto grasso! || Yes! He's very fat!
NADIA: Allora **c'è** una **medicina** per lui. Ma la **medicina** non è un gioco, Leo. || Then **there's** a **medicine** for him. But **medicine** isn't a game, Leo.
LEO: Va bene. Niente **medicina** per Pavarotti. || All right. No **medicine** for Pavarotti.
NARRATOR: Ben apre il quaderno e lo mette sul banco. || Ben opens the notebook and puts it on the counter.
BEN: Nadia, una domanda. **Dov'è** il supermercato? || Nadia, a question. **Where's** the supermarket?
NADIA: Il supermercato è in Via Roma. È grande. **C'è** anche un negozio di frutta. || The supermarket is on Via Roma. It's big. **There's** also a fruit shop.
BEN: Via Roma. E **dov'è** la **stazione**? || Via Roma. And **where's** the **station**?
NADIA: La **stazione** è in fondo a Via Roma. **C'è** un **cartello** grande. || The **station** is at the end of Via Roma. **There's** a big **sign**.
BEN: Un **cartello**. Bene. Scrivo. || A **sign**. Good. I'll write.
NARRATOR: Ben scrive: supermercato, negozio, stazione. Nadia guarda il quaderno. || Ben writes: supermarket, shop, station. Nadia looks at the notebook.
NADIA: Che cos'è questo? || What's this?
BEN: È la mia **mappa** di Borgoverde. || It's my **map** of Borgoverde.
NADIA [interested]: Una **mappa**. Vuoi una **mappa** di Borgoverde? || A **map**. You want a **map** of Borgoverde?
BEN: Sì! **C'è** una **mappa** in **farmacia**? || Yes! **Is there** a **map** in the **pharmacy**?
NADIA: No. Ma c'è internet. || No. But there's the internet.
LEO: Il papà non ama internet. Ama il quaderno. || Dad doesn't love the internet. He loves the notebook.
NADIA: Ah. Capisco. || Ah. I see.
NARRATOR: Nadia prende un **cartello** piccolo dal banco. È la lista delle cose della **piazza**. || Nadia picks up a small **sign** from the counter. It's the list of things in the **square**.
NADIA: Guarda. Questo è un **cartello** del Comitato. **C'è** la **chiesa**. **Ci sono** la **fontana** e il municipio. || Look. This is a **sign** from the Committee. **There's** the **church**. **There are** the **fountain** and the town hall.
BEN: Sì! La **chiesa** e la **fontana**! || Yes! The **church** and the **fountain**!
LEO: E **c'è** anche il parco? || And **is there** also the park?
NADIA: Il parco non è in **piazza**. Il parco è vicino alla **chiesa**, ma è un altro posto. || The park isn't in the **square**. The park is near the **church**, but it's another place.
LEO: Ah. Allora la **mappa** è sbagliata. || Ah. So the **map** is wrong.
NADIA: La **mappa** è un lavoro lungo. || A **map** is long work.
NARRATOR: Nadia indica una riga del **cartello**. || Nadia points to a line of the **sign**.
NADIA: E qui **c'è** scritto: "**negozio** di **pane**". Il **panificio** della **piazza**. || And here it says: "**bread** **shop**". The **bakery** of the **square**.
BEN: Sì, il **panificio**. Noi abbiamo il **pane**! || Yes, the **bakery**. We have **bread**!
LEO: Il **pane** è caldo! || The **bread** is warm!
NADIA: Il **pane** di quel **negozio** è il migliore del **centro**. Ma questo non lo dico io. || The **bread** from that **shop** is the best in the **centre**. But that's not me saying it.
BEN: No? E chi lo dice? || No? And who says it?
NADIA: Matteo. Lui è di parte. || Matteo. He's biased.
NARRATOR: Leo ride. Poi guarda il **cartello** con attenzione. || Leo laughs. Then he looks at the **sign** carefully.
LEO: Nadia, e **c'è** il **bar** sul **cartello**? || Nadia, and **is there** the **bar** on the **sign**?
NADIA: No. Il **bar** non è in **piazza**. Il **bar** è in Via dei Tigli. || No. The **bar** isn't in the **square**. The **bar** is on Via dei Tigli.
LEO: Il **bar** è importante. || The **bar** is important.
NADIA [deadpan]: Certo. Il **bar** è importantissimo. || Sure. The **bar** is very important.
BEN: Leo vuole il **bar** sulla **mappa**. || Leo wants the **bar** on the **map**.
NADIA: **Certo**. Geniale. Una **mappa** con il **bar** di Matteo. || **Sure**. Brilliant. A **map** with Matteo's **bar**.
NARRATOR: Nadia rimette il **cartello** sul banco. || Nadia puts the **sign** back on the counter.
BEN: Nadia, un'altra domanda. **C'è** una farmacia in **piazza**? || Nadia, another question. **Is there** a pharmacy in the **square**?
NADIA: No. La **farmacia** è qui. In Via Verdi. || No. The **pharmacy** is here. On Via Verdi.
BEN: Ah. Allora... una farmacia. || Ah. So... a pharmacy.
NADIA: Un**a** **farmacia**, signor Carter. Con la "a". È femminile. || A **pharmacy**, Mr Carter. With the "a". It's feminine.
BEN: Un**a** **farmacia**. Grazie. || A **pharmacy**. Thanks.
LEO [proud]: Papà, la "a"! || Dad, the "a"!
BEN: Sì, sì. La "a". || Yes, yes. The "a".
NARRATOR: Nadia sorride. Poi guarda l'orologio. || Nadia smiles. Then she looks at the clock.
NADIA: Signor Carter, **c'è** un'altra cosa in **piazza**. Il **municipio**. || Mr Carter, **there's** another thing in the **square**. The town hall.
BEN: Sì, il **municipio**. Il **municipio** è in **piazza**. **C'è** un **cartello** nuovo davanti. || Yes, the town hall. The town hall is in the **square**. **There's** a new **sign** in front.
NADIA: Un **cartello** nuovo? || A new **sign**?
BEN: Sì. **C'è** scritto qualcosa con parole strane. || Yes. **There's** something written with strange words.
NADIA [knowing]: Ah. Allora è del Comitato. E il Comitato è... il signor Colombo. || Ah. Then it's from the Committee. And the Committee is... Mr Colombo.
BEN: Il signor Colombo del numero undici? || Mr Colombo from number eleven?
NADIA: Sì. **C'è** sempre un **cartello** con Colombo. || Yes. **There's** always a **sign** with Colombo.
NARRATOR: Leo prende il **pane** e lo mette sul banco. Poi lo riprende. || Leo takes the **bread** and puts it on the counter. Then he takes it back.
LEO: Nadia, **ci sono** i cornetti in **farmacia**? || Nadia, **are there** croissants in the **pharmacy**?
NADIA: No, Leo. I cornetti sono nel **bar**. Il **bar** di Matteo. || No, Leo. Croissants are in the **bar**. Matteo's **bar**.
LEO [happy]: **C'è** il **bar**! || **There's** the **bar**!
BEN [sighing]: E **c'è** sempre il **bar**. || And **there's** always the **bar**.
NADIA: La **strada** è lunga, signor Carter. Prima il **bar**, poi il supermercato. || The **street** is long, Mr Carter. First the **bar**, then the supermarket.
BEN: Va bene. La **strada** è lunga. Noi camminiamo. || All right. The **street** is long. We walk.
NARRATOR: Nadia dà a Leo una caramella. Leo dice grazie. || Nadia gives Leo a sweet. Leo says thank you.
NADIA: **C'è** una caramella per il disegnatore della **mappa**. || **There's** a sweet for the map-maker.
LEO: Grazie! Il **bar** è il prossimo! || Thank you! The **bar** is next!
NADIA [to Ben]: Scriva: supermercato, Via Roma. **C'è** tutto sul mio **cartello**. || Write: supermarket, Via Roma. Everything's on my **sign**.
BEN: Grazie, Nadia. Sei gentile. || Thanks, Nadia. You're kind.
NADIA: Sono una farmacista. || I'm a pharmacist.
