@vocab
la casa | noun | f | house; home | case
la cucina | noun | f | kitchen | cucine
il bagno | noun | m | bathroom | bagni
la camera | noun | f | bedroom | camere
il letto | noun | m | bed | letti
il tavolo | noun | m | table | tavoli
la sedia | noun | f | chair | sedie
la finestra | noun | f | window | finestre
la scatola | noun | f | box | scatole
il giardino | noun | m | garden | giardini
la porta | noun | f | door | porte
il divano | noun | m | sofa | divani
la stanza | noun | f | room | stanze
il corridoio | noun | m | hallway; corridor | corridoi
la caffettiera | noun | f | coffee maker; moka pot | caffettiere
il gatto | noun | m | cat | gatti
il nome | noun | m | name | nomi
la parola | noun | f | word | parole
il foglio | noun | m | sheet of paper | fogli
il quaderno | noun | m | notebook | quaderni
grande | adjective | | big; large | grandi
piccolo | adjective | | small; little | piccola, piccoli, piccole
pesante | adjective | | heavy | pesanti
mettere | verb | | to put | metto, mette, mettiamo, mettono
aprire | verb | | to open | apro, apre, apriamo, aprono
trovare | verb | | to find | trovo, trova, troviamo, trovano
cercare | verb | | to look for | cerco, cerca, cerchiamo, cercano
@end

# SCENE casa-carter | sabato mattina | chiara, ben, leo
BEN: Sì! Una **scatola** bianca, come le altre. || Yes! A white **box**, like the others.
LEO: Ah. Allora è difficile. || Ah. Then it's difficult.
CHIARA: Ben, per favore. || Ben, please.
CHIARA: Primo: la **cucina**. || First: the **kitchen**.
CHIARA: Secondo: le **camere**. || Second: the **bedrooms**.
CHIARA: Terzo: il **bagno**. || Third: the **bathroom**.
BEN: Primo, secondo, terzo… || First, second, third…
BEN: Tu sei un'architetta! || You're an architect!
CHIARA: Sì, Ben. Sono un'architetta. || Yes, Ben. I'm an architect.
NARRATOR: Il **tavolo** è pieno di **scatole** piccole. || The **table** is full of small **boxes**.
CHIARA: Questa **scatola** è per la **cucina**. || This **box** is for the **kitchen**.
CHIARA: Questa è per il **bagno**. || This one is for the **bathroom**.
BEN: E questa? || And this one?
CHIARA: Questa è per il **corridoio**. || This one is for the **hallway**.
NARRATOR: Ben **mette** la **scatola** vicino alla **porta**. || Ben **puts** the **box** near the **door**.
LEO: Papà, la **porta** è **piccola**. || Dad, the **door** is **small**.
BEN: Lo so, Leo. La **casa** è **piccola**. || I know, Leo. The **house** is **small**.
NARRATOR: Chiara ha un **foglio** e una matita. || Chiara has a **sheet of paper** and a pencil.
NARRATOR: Chiara scrive i **nomi** sul **foglio**. || Chiara writes the **names** on the **sheet of paper**.
CHIARA: La **cucina** è qui. || The **kitchen** is here.
CHIARA: Il **tavolo** è qui. || The **table** is here.
CHIARA: E la **finestra** è bella. || And the **window** is beautiful.
BEN: La **cucina** è bella! || The **kitchen** is beautiful!
CHIARA: Sì. Ma è **piccola**. || Yes. But it's **small**.
NARRATOR: Leo guarda il **giardino** dalla **finestra**. || Leo looks at the **garden** from the **window**.
LEO: Mamma, perché il **giardino** è così **piccolo**? || Mum, why is the **garden** so **small**?
CHIARA: Perché la **casa** è **piccola**, Leo. || Because the **house** is **small**, Leo.
LEO: E perché il **divano** è nel **corridoio**? || And why is the **sofa** in the **hallway**?
NARRATOR: Il **divano** è davvero nel **corridoio**. || The **sofa** really is in the **hallway**.
NARRATOR: È un **divano** **grande** e **pesante**. || It's a **big**, **heavy** **sofa**.
BEN: Il **divano** è nel **corridoio** perché… || The **sofa** is in the **hallway** because…
BEN: … perché la **casa** è **piccola**. || … because the **house** is **small**.
LEO: Ah. Perché? || Ah. Why?
CHIARA: Leo, non chiedere sempre "perché". || Leo, don't always ask "why".
LEO: Perché? || Why?
NARRATOR: Chiara guarda Ben e sorride. || Chiara looks at Ben and smiles.
NARRATOR: Ben apre un'altra **scatola**. || Ben opens another **box**.
BEN: Questa **scatola** è **pesante**. || This **box** is **heavy**.
BEN: È molto **pesante**! || It's very **heavy**!
LEO: "Molto pesante" no, papà. || "Molto pesante" no, Dad.
LEO: Si dice: "È **pesante**". || You say: "It's **heavy**."
BEN: Ah. È **pesante**. || Ah. It's **heavy**.
NARRATOR: Ben **mette** la **scatola** sul **tavolo**. || Ben **puts** the **box** on the **table**.
NARRATOR: Poi **mette** una **sedia** vicino al **tavolo**. || Then he **puts** a **chair** near the **table**.
NARRATOR: Poi **mette** il **quaderno** sul **tavolo**. || Then he **puts** the **notebook** on the **table**.
BEN: Il **quaderno**! || The **notebook**!
CHIARA: Il **quaderno** delle parole? || The **notebook** of words?
BEN: Sì. Il **quaderno** delle parole italiane. || Yes. The **notebook** of Italian words.
LEO: Quante parole? || How many words?
BEN: Mah. Dieci? Venti? || Hmm. Ten? Twenty?
LEO: Io ho una **parola** nuova. || I have a new **word**.
CHIARA: Quale **parola**? || Which **word**?
LEO: **Casa**. || **House**.
NARRATOR: Leo prende una matita. || Leo takes a pencil.
NARRATOR: Leo scrive "**casa**" sul **quaderno** di Ben. || Leo writes "**house**" in Ben's **notebook**.
NARRATOR: Poi guarda la **cucina**, la **porta** e il **corridoio**. || Then he looks at the **kitchen**, the **door** and the **hallway**.
LEO: Adesso la **casa** parla italiano. || Now the **house** speaks Italian.
BEN: Come? || What?
LEO: La **casa** parla italiano. || The **house** speaks Italian.
CHIARA: Che cosa vuol dire? || What does that mean?
LEO: Vuol dire che io **metto** i nomi su tutto. || It means that I **put** names on everything.
NARRATOR: Chiara **mette** la mano sulla **porta** della **cucina**. || Chiara **puts** her hand on the **kitchen** **door**.
CHIARA: Ben. || Ben.
CHIARA: La **cucina** è **piccola**. || The **kitchen** is **small**.
BEN: La **casa** è bella! || The **house** is beautiful!
CHIARA: Sì. Ma è **piccola**. || Yes. But it's **small**.
BEN: La **casa** è bella e **piccola**. || The **house** is beautiful and **small**.
BEN: È **piccola** e bella. || It's **small** and beautiful.
CHIARA: Va bene. || All right.
NARRATOR: Fuori, il **giardino** è **piccolo**. || Outside, the **garden** is **small**.
NARRATOR: Dentro, la **casa** è **piccola**. || Inside, the **house** is **small**.
BEN: Tutto è **piccolo**! || Everything is **small**!
CHIARA: Tranquillo, Ben. || Calm down, Ben.
CHIARA: La **casa** è **piccola**, ma bella. || The **house** is **small**, but beautiful.
NARRATOR: Ben guarda il **corridoio**. || Ben looks at the **hallway**.
NARRATOR: Il **corridoio** è pieno di **scatole**. || The **hallway** is full of **boxes**.
NARRATOR: Otto **scatole**, **grandi** e **pesanti**. || Eight **boxes**, **big** and **heavy**.
BEN: Otto **scatole** nel **corridoio**. || Eight **boxes** in the **hallway**.
BEN: Una **scatola** per la **cucina**. || One **box** for the **kitchen**.
BEN: Una per il **bagno**. || One for the **bathroom**.
BEN: Una per le **camere**. || One for the **bedrooms**.
BEN: E una per il **giardino**? || And one for the **garden**?
CHIARA: No, Ben. Il **giardino** non ha **scatole**. || No, Ben. The **garden** doesn't have **boxes**.
BEN: Il **giardino** è **piccolo**. || The **garden** is **small**.
LEO: Il **bagno** è **piccolo**? || Is the **bathroom** **small**?
CHIARA: Sì. || Yes.
LEO: E la mia **camera**? || And my **bedroom**?
CHIARA: La tua **camera** è… || Your **bedroom** is…
CHIARA: Mah. Vediamo lunedì. || Hmm. Let's see on Monday.
LEO: Lunedì? || Monday?
BEN: Lunedì. || Monday.
NARRATOR: Leo guarda le **camere** dalla **porta**. || Leo looks at the **bedrooms** from the **door**.
NARRATOR: Una **camera** è **grande**. || One **bedroom** is **big**.
NARRATOR: Una **camera** è **piccola**. || One **bedroom** is **small**.
LEO: Io voglio la **camera** **grande**. || I want the **big** **bedroom**.
CHIARA: Lunedì, Leo. || Monday, Leo.
NARRATOR: Ben apre la **porta** del **bagno**. || Ben opens the **bathroom** **door**.
NARRATOR: Dentro, il **bagno** è pieno di **scatole**. || Inside, the **bathroom** is full of **boxes**.
BEN: Anche il **bagno** è pieno di **scatole**! || The **bathroom** is full of **boxes** too!
CHIARA: Lo so. || I know.
LEO: Papà, non **trovi** la **caffettiera**? || Dad, can't you **find** the **coffee maker**?
BEN: No. La **caffettiera** non è qui. || No. The **coffee maker** isn't here.
LEO: È nel **bagno**? || Is it in the **bathroom**?
BEN: Forse. Io **cerco** ancora. || Maybe. I'm still **looking**.
NARRATOR: Chiara scrive ancora sul **foglio**. || Chiara writes again on the **sheet of paper**.
NARRATOR: Il **foglio** è pieno di **nomi**. || The **sheet of paper** is full of **names**.
NARRATOR: **Cucina**, **bagno**, **camere**, **giardino**, **corridoio**. || **Kitchen**, **bathroom**, **bedrooms**, **garden**, **hallway**.
CHIARA: Ecco la lista. || Here's the list.
BEN: La lista è **grande**. || The list is **big**.
CHIARA: La **casa** è **piccola**. || The **house** is **small**.
BEN: Ma la lista è **grande**. || But the list is **big**.
CHIARA: Ben… || Ben…
NARRATOR: Ben ride. Chiara ride anche lei. || Ben laughs. Chiara laughs too.
NARRATOR: Leo prende un **foglio** piccolo. || Leo takes a small **sheet of paper**.
NARRATOR: Leo scrive una **parola** sul **foglio**. || Leo writes a **word** on the **sheet of paper**.
LEO: **Casa**. || **House**.
NARRATOR: Leo **mette** il **foglio** sul **quaderno** di Ben. || Leo **puts** the **sheet of paper** on Ben's **notebook**.
BEN: **Casa**. || **House**.
BEN [happy]: Perfetto! || Perfect!

# CONFESSIONALE ben
BEN: Allora. La **casa**. || So. The **house**.
BEN: Questa è la **casa** nuova. || This is the new **house**.
BEN: In America la **casa** è **grande**. || In America the **house** is **big**.
BEN: Qui la **casa** è… **casa**. || Here the **house** is… a **house**.
BEN: In America tutto è chiaro. || In America everything is clear.
BEN: La **cucina** è **grande**. Il bagno è **grande**. || The **kitchen** is **big**. The bathroom is **big**.
BEN: In America anche il giardino è **grande**. || In America the garden is **big** too.
BEN: Qui la **cucina** è **piccola**. || Here the **kitchen** is **small**.
BEN: Il bagno è **piccolo**. Il giardino è **piccolo**. || The bathroom is **small**. The garden is **small**.
BEN: Ma va bene. Sono felice. || But it's fine. I'm happy.
BEN: Il problema sono le **scatole**. || The problem is the **boxes**.
BEN: Le **scatole** sono dappertutto. || The **boxes** are everywhere.
BEN: Tutte le **scatole** sono in inglese. || All the **boxes** are in English.
BEN: KITCHEN. BATHROOM. STUFF. || KITCHEN. BATHROOM. STUFF.
BEN: "Stuff" è una **scatola** **grande**. || "Stuff" is a **big** **box**.
BEN: Una **scatola** **grande** con… stuff. || A **big** **box** with… stuff.
BEN: E adesso la **caffettiera**. || And now the **coffee maker**.
BEN: Io **cerco** la **caffettiera** ogni giorno. || I **look for** the **coffee maker** every day.
BEN: Io **cerco** la **caffettiera** ancora. || I'm still **looking for** the **coffee maker**.
BEN: La **caffettiera** è in una **scatola**. || The **coffee maker** is in a **box**.
BEN: Una **scatola** bianca. || A white **box**.
BEN: Una **scatola** bianca, come le altre. || A white **box**, like the others.
NARRATOR: Ben guarda le **scatole** nel corridoio. || Ben looks at the **boxes** in the hallway.
BEN: **Caffettiera**. **Caffettiera**. **Caffettiera**. || **Coffee maker**. **Coffee maker**. **Coffee maker**.
BEN: Niente. || Nothing.
BEN: Allora… la **cucina** è **piccola**. || So… the **kitchen** is **small**.
BEN: La **cucina** è **piccola**, ma io sono felice. || The **kitchen** is **small**, but I'm happy.
BEN: La **cucina** è **piccola**, la **casa** è **piccola**. || The **kitchen** is **small**, the **house** is **small**.
BEN: Ma la **casa** è bella. || But the **house** is beautiful.
BEN: Sono americano. La **casa** è italiana. || I'm American. The **house** is Italian.
BEN: **Casa**. || **House**.
BEN [proud]: Perfetto! || Perfect!

# SCENE casa-carter | sabato pomeriggio | emma, leo, chiara
NARRATOR: È sabato pomeriggio. || It's Saturday afternoon.
NARRATOR: Emma apre **la** **porta** della **camera** **grande**. || Emma opens **the** **door** of the **big** **bedroom**.
NARRATOR: **La** **camera** è **grande** e luminosa. || **The** **bedroom** is **big** and bright.
EMMA: Oh! **La** **camera** è **grande**. || Oh! **The** **bedroom** is **big**.
EMMA: E **la** **finestra** è **grande**! || And **the** **window** is **big**!
EMMA: E **il** **letto** è nuovo. || And **the** **bed** is new.
NARRATOR: Emma **mette** la borsa sul **letto**. || Emma **puts** her bag on the **bed**.
EMMA: Questa **camera** è mia. || This **bedroom** is mine.
NARRATOR: Leo arriva e guarda dentro la **stanza**. || Leo comes in and looks inside the **room**.
LEO: No, Emma. Questa **camera** è mia. || No, Emma. This **bedroom** is mine.
EMMA: Ma che dici? || What are you saying?
LEO: Io sono **piccolo**. || I'm **small**.
EMMA: E allora? || So what?
LEO: **La** **camera** **grande** è per il bambino **piccolo**. || **The** **big** **bedroom** is for the **small** child.
EMMA: Ah, certo. Logico. || Ah, of course. Logical.
NARRATOR: Leo entra nella **camera** e guarda **il** **letto**. || Leo goes into the **bedroom** and looks at **the** **bed**.
LEO: **La** **finestra** è bella. || **The** **window** is beautiful.
LEO: Io guardo il giardino dalla **finestra**. || I look at the garden from the **window**.
EMMA: Leo, io sono **grande**. Tu sei **piccolo**. || Leo, I'm **big**. You're **small**.
LEO: Sì! Ecco perché **la** **camera** **grande** è mia. || Yes! That's why **the** **big** **bedroom** is mine.
EMMA: Ma che logica è? || What kind of logic is that?
LEO: La logica di Leo. || Leo's logic.
NARRATOR: Emma prende la borsa dal **letto**. || Emma takes her bag off the **bed**.
EMMA: **La** **camera** è mia! || **The** **bedroom** is mine!
LEO: No, è mia! || No, it's mine!
EMMA: È mia! || It's mine!
LEO: È mia! || It's mine!
NARRATOR: Chiara arriva alla **porta**. || Chiara comes to the **door**.
CHIARA: Basta! Che cosa succede? || Enough! What's happening?
EMMA: Leo dice che **la** **camera** **grande** è sua. || Leo says that **the** **big** **bedroom** is his.
LEO: E Emma dice che **la** **camera** è sua. || And Emma says that **the** **bedroom** is hers.
CHIARA: **Il** **letto** **grande** è di Emma. || **The** **big** **bed** is Emma's.
LEO: Ah! Allora **la** **camera** è di Emma? || Ah! So **the** **bedroom** is Emma's?
CHIARA: Mah. No. || Hmm. No.
EMMA: Mamma! || Mum!
CHIARA: La decisione è di lunedì. || The decision is Monday's.
EMMA: Lunedì? || Monday?
CHIARA: Lunedì. Non oggi. || Monday. Not today.
NARRATOR: Chiara guarda le due **camere**. || Chiara looks at the two **bedrooms**.
NARRATOR: Una **stanza** è **grande**, una **stanza** è **piccola**. || One **room** is **big**, one **room** is **small**.
CHIARA: **La** **stanza** **piccola** è bella. || **The** **small** **room** is nice.
LEO: Ma io voglio **la** **grande**! || But I want **the** **big** one!
CHIARA: Lunedì. || Monday.
LEO: Ma lunedì è lontano! || But Monday is far away!
EMMA: Leo, dai. || Leo, come on.
LEO: No! Io voglio una **finestra** **grande** come Emma. || No! I want a **big** **window** like Emma.
EMMA: **La** **finestra** **piccola** è carina. || **The** **small** **window** is nice.
LEO: Carina no. **Piccola** no. || Nice no. **Small** no.
NARRATOR: Leo **apre** **la** **porta** della **stanza** **piccola**. || Leo **opens** **the** **door** of the **small** **room**.
NARRATOR: Dentro, **il** **letto** è **piccolo** e **la** **finestra** è **piccola**. || Inside, **the** **bed** is **small** and **the** **window** is **small**.
LEO: Ecco. Questa è una **stanza** per un gatto. || There. This is a **room** for a cat.
EMMA: Il gatto di chi? || Whose cat?
LEO: Il gatto di Ornella. || Ornella's cat.
NARRATOR: Leo esce dalla **camera**. Lui è offeso. || Leo leaves the **bedroom**. He's offended.
NARRATOR: Va in **cucina** e prende un **foglio** piccolo. || He goes into the **kitchen** and takes a small **sheet of paper**.
LEO: Adesso **la** **casa** parla italiano. || Now **the** **house** speaks Italian.
NARRATOR: Leo scrive una **parola** sul **foglio**. || Leo writes a **word** on the **sheet of paper**.
LEO: **Tavolo**. || **Table**.
NARRATOR: Leo **mette** **il** **foglio** sul **tavolo**. || Leo **puts** **the** **sheet of paper** on the **table**.
NARRATOR: Poi scrive una **parola** nuova. || Then he writes a new **word**.
LEO: **Sedia**. || **Chair**.
NARRATOR: Leo **mette** **il** **foglio** sulla **sedia**. || Leo **puts** **the** **sheet of paper** on the **chair**.
NARRATOR: Poi va alla **porta** del **bagno**. || Then he goes to the **bathroom** **door**.
LEO: **Bagno**. || **Bathroom**.
NARRATOR: Leo **apre** **la** **porta** del **bagno**. || Leo **opens** **the** **bathroom** **door**.
NARRATOR: Leo **mette** **il** **foglio** sulla **porta**. || Leo **puts** **the** **sheet of paper** on the **door**.
LEO: **Porta**. || **Door**.
NARRATOR: E **mette** un **foglio** anche sulla porta d'ingresso. || And he **puts** a **sheet of paper** on the front door too.
LEO: Porta d'ingresso. || Front door.
EMMA: Leo, basta. || Leo, enough.
LEO: Ancora una cosa. || One more thing.
NARRATOR: Poi entra nella **camera** **grande**. || Then he goes into the **big** **bedroom**.
LEO: **Letto**. || **Bed**.
NARRATOR: Leo **mette** **il** **foglio** sul **letto**. || Leo **puts** **the** **sheet of paper** on the **bed**.
LEO: **Finestra**. || **Window**.
NARRATOR: Leo **mette** **il** **foglio** sulla **finestra**. || Leo **puts** **the** **sheet of paper** on the **window**.
NARRATOR: Emma lo guarda dalla **porta**. || Emma watches him from the **door**.
EMMA: Che ansia. || So stressful.
EMMA: Leo, un **nome** per tutto? || Leo, a **name** for everything?
LEO: Sì. **La** **casa** è una cosa con un **nome**. || Yes. **The** **house** is a thing with a **name**.
EMMA: E **la** **camera**? || And **the** **bedroom**?
LEO: Anche **la** **camera**. || **The** **bedroom** too.
EMMA: E **la** **sedia**? || And **the** **chair**?
LEO: **La** **sedia** è **sedia**. || **The** **chair** is **chair**.
EMMA: E **il** **bagno**? || And **the** **bathroom**?
LEO: **Il** **bagno** è **bagno**. || **The** **bathroom** is **bathroom**.
NARRATOR: Emma ride e va in **cucina**. || Emma laughs and goes into the **kitchen**.
NARRATOR: Chiara **apre** **la** **porta** della **cucina**. || Chiara **opens** **the** **kitchen** **door**.
CHIARA: Che cos'è questo? || What's this?
NARRATOR: Un **foglio** è sulla borsa di Chiara. || A **sheet of paper** is on Chiara's bag.
NARRATOR: Sul **foglio** la **parola** è questa: **mamma**. || On the **sheet of paper** the **word** is this: **Mum**.
CHIARA [laughing]: **Mamma**. || **Mum**.
NARRATOR: Chiara ride. || Chiara laughs.
CHIARA: Leo! || Leo!
LEO: **La** **parola** giusta. || **The** right **word**.
NARRATOR: Leo prende un altro **foglio**. || Leo takes another **sheet of paper**.
NARRATOR: Lui **apre** **la** **porta** della **camera** **grande**. || He **opens** **the** **door** of the **big** **bedroom**.
NARRATOR: E scrive una **parola**. || And he writes a **word**.
LEO: Il **nome** della **stanza**. || The **name** of the **room**.
NARRATOR: Leo **mette** **il** **foglio** sulla **porta**. || Leo **puts** **the** **sheet of paper** on the **door**.
NARRATOR: Sul **foglio**: "**camera** di Leo". || On the **sheet of paper**: "**bedroom** of Leo".
EMMA [annoyed]: Ma dai! || Come on!
CHIARA: Lunedì, Leo. || Monday, Leo.
LEO: Sì. Ma adesso **la** **camera** è "camera di Leo". || Yes. But now **the** **bedroom** is "Leo's bedroom".
NARRATOR: Chiara e Emma si guardano. || Chiara and Emma look at each other.
NARRATOR: Emma sorride. || Emma smiles.
EMMA: Va bene. **La** **camera** di Leo. Per lunedì. || Fine. **The** **bedroom** of Leo. Until Monday.
NARRATOR: In **casa** ogni cosa è una cosa con un **nome**. || In the **house** every thing is a thing with a **name**.
LEO: Sì. **Il** **nome** italiano. || Yes. **The** Italian **name**.

# CONFESSIONALE leo
LEO: Allora. Io **metto** un **foglio** su tutto. || So. I **put** a **sheet of paper** on everything.
LEO: **Il** **tavolo** è **tavolo**. || **The** **table** is **table**.
LEO: **La** **sedia** è **sedia**. || **The** **chair** is **chair**.
LEO: **La** **porta** è **porta**. || **The** **door** is **door**.
LEO: È una cosa normale. || It's a normal thing.
LEO: I **nomi** sono importanti. || **Names** are important.
LEO: Poi **la** **casa** parla italiano. || Then **the** **house** speaks Italian.
LEO: **La** **casa** è grande? No. || Is **the** **house** **big**? No.
LEO: **La** **casa** è **piccola**. || **The** **house** is **small**.
LEO: Ma **la** **casa** parla. || But **the** **house** speaks.
NARRATOR: Leo prende un **foglio** e guarda **la** **camera** grande. || Leo takes a **sheet of paper** and looks at the **big** **bedroom**.
LEO: **La** **camera** grande è mia. || **The** **big** **bedroom** is mine.
LEO: **La** **finestra** di questa **camera** è bella. || **The** **window** of this **bedroom** is beautiful.
LEO: Io guardo il giardino da **la** **finestra**. || I look at the garden from **the** **window**.
LEO: Emma è **grande**. Io sono **piccolo**. || Emma is **big**. I'm **small**.
LEO: Va bene. || It's fine.
LEO: Io **metto** **il** **nome** su **la** **camera**: camera di Leo. || I **put** the **name** on **the** **bedroom**: Leo's bedroom.
LEO: Ma **la** **camera** è bella per tutti e due. || But **the** **bedroom** is nice for both of us.
LEO: Emma ha **il** **letto** grande, io ho **il** **letto** piccolo. || Emma has the big bed, I have the small bed.
LEO: E **la** **sedia**? **La** **sedia** è **sedia**. || And **the** **chair**? **The** **chair** is **chair**.
LEO: Pavarotti ha un **nome**. || Pavarotti has a **name**.
LEO: Anche **il** **tavolo** ha un **nome**. || **The** **table** has a **name** too.
LEO: **Tavolo**. || **Table**.
LEO: Ecco. Tutto ha un **nome** in **casa**. || There. Everything has a **name** in the **house**.

# SCENE casa-carter | sabato pomeriggio | ornella, ben, leo
NARRATOR: Qualcuno bussa alla **porta**. || Someone knocks at the **door**.
NARRATOR: Ben **apre** la **porta**. || Ben **opens** the **door**.
NARRATOR: È la signora Ornella Galli. || It's Mrs Ornella Galli.
NARRATOR: Ha una torta in una mano e **il** **gatto** nell'altra. || She has a cake in one hand and **the** **cat** in the other.
BEN [formal]: Buongiorno, signora Galli. || Good morning, Mrs Galli.
BEN: Prego, entri. || Please, come in.
ORNELLA: Buongiorno, signor Carter. || Good morning, Mr Carter.
ORNELLA: La torta è per voi. || The cake is for you.
BEN: Grazie. Molto gentile. || Thank you. Very kind.
ORNELLA: E questo è Pavarotti. || And this is Pavarotti.
NARRATOR: **Il** **gatto** è **grande** e grasso. || **The** **cat** is **big** and fat.
NARRATOR: **Il** **gatto** guarda **la** **casa** nuova. || **The** **cat** looks at **the** new **house**.
LEO: Signora Galli, come sta? || Mrs Galli, how are you?
ORNELLA: Bene, Leo, grazie. Tu come stai? || Fine, Leo, thanks. How are you?
LEO: Bene. È **il** suo **gatto**? || Fine. Is it your **cat**?
ORNELLA: Sì. Si chiama Pavarotti. || Yes. His **name** is Pavarotti.
BEN: Il **nome** è… Pavarotti? || The **name** is… Pavarotti?
ORNELLA: Sì, signor Carter. || Yes, Mr Carter.
ORNELLA: **Il** **gatto** scappa sempre. || **The** **cat** always runs away.
ORNELLA: Quando io **apro** **la** **finestra** del **giardino**, lui va via. || When I **open** **the** **window** of the **garden**, he goes off.
ORNELLA: Sempre. Ogni giorno. || Always. Every day.
BEN: Capisco. || I see.
NARRATOR: Pavarotti salta giù dalle braccia di Ornella. || Pavarotti jumps down from Ornella's arms.
NARRATOR: Va in **cucina** e guarda **il** **tavolo**. || He goes into the **kitchen** and looks at **the** **table**.
NARRATOR: Poi salta sul **divano** nel corridoio. || Then he jumps on the **sofa** in the hallway.
LEO: Guarda! **Il** **gatto** è sul **divano**! || Look! **The** **cat** is on the **sofa**!
ORNELLA: Pavarotti! Vieni qui! || Pavarotti! Come here!
NARRATOR: **Il** **gatto** non ascolta. || **The** **cat** doesn't listen.
NARRATOR: **Il** **gatto** salta dal **divano** al **tavolo**. || **The** **cat** jumps from the **sofa** to the **table**.
ORNELLA [sighing]: Ah, **il** **gatto**. Sempre così. || Ah, **the** **cat**. Always like this.
BEN: Il **tavolo** è **piccolo**, signora. || The **table** is **small**, ma'am.
ORNELLA: Sì? E **la** **casa**? || Yes? And **the** **house**?
BEN: **La** **casa** è **piccola** anche lei. || **The** **house** is **small** too.
ORNELLA: **La** **cucina**? || **The** **kitchen**?
BEN: **La** **cucina** è **piccola**. || **The** **kitchen** is **small**.
ORNELLA: E **la** **finestra** della **cucina**? || And **the** **window** of the **kitchen**?
BEN: **La** **finestra** è bella. || **The** **window** is beautiful.
ORNELLA: Bene. **La** **finestra** è importante. || Good. **The** **window** is important.
NARRATOR: Leo guarda **il** **gatto** sul **tavolo**. || Leo looks at **the** **cat** on the **table**.
LEO: Signora Galli, perché si chiama Pavarotti? || Mrs Galli, why is he called Pavarotti?
LEO: Perché canta? || Because he sings?
NARRATOR: Ornella sorride. || Ornella smiles.
ORNELLA: **Il** **nome** è di mio marito Gino. || The **name** is from my husband Gino.
ORNELLA: Gino dice sempre: **il** **gatto** canta. || Gino always says: **the** **cat** sings.
ORNELLA: Canta come il cantante. || He sings like the singer.
LEO: Ah! **Il** **gatto** canta! || Ah! **The** **cat** sings!
ORNELLA: Mah. Un po'. || Hmm. A little.
BEN: Molto interessante. || Very interesting.
LEO: Ma **il** **gatto** è un **nome** strano. || But **the** **cat** is a strange **name**.
EMMA: Leo, non è il **nome**… è **il** **gatto**. || Leo, it's not the **name**… it's **the** **cat**.
NARRATOR: Emma arriva dalla **cucina**. || Emma comes from the **kitchen**.
EMMA: Buongiorno, signora Galli. || Good morning, Mrs Galli.
ORNELLA: Buongiorno, Emma. Come stai? || Good morning, Emma. How are you?
EMMA: Bene, grazie. || Fine, thanks.
NARRATOR: **Il** **gatto** salta dal **tavolo** al **divano**. || **The** **cat** jumps from the **table** to the **sofa**.
NARRATOR: Poi si siede e guarda **il** **giardino**. || Then he sits and looks at the **garden**.
LEO: Guarda **il** **giardino**! || Look at the **garden**!
ORNELLA: Pavarotti ama **il** **giardino**. || Pavarotti loves the **garden**.
ORNELLA: E ama **la** **finestra**. || And he loves **the** **window**.
