lemma,pos,gender,en,level,introduced,recycled,forms
il piatto,noun,m,plate,A1,s01e02,s01e05 s05e03,"il piatto, piatti, piatto"
il pranzo,noun,m,lunch,A1,s01e02,s01e05,"il pranzo, pranzi, pranzo"
il problema,noun,m,problem,A1,s01e02,s01e03 s01e04 s01e05 s05e03,"il problema, problema, problemi"
il quaderno,noun,m,notebook,A1,s01e02,s01e03 s01e04 s01e05 s05e03,"il quaderno, quaderni, quaderno"
il tavolo,noun,m,table,A1,s01e02,s01e03 s01e05 s05e03,"il tavolo, tavoli, tavolo"
il vino,noun,m,wine,A1,s01e02,s01e05,"il vino, vino"
l'acqua,noun,f,water,A1,s01e02,s01e04 s01e05 s05e03,"acqua, l'acqua"
l'americano,noun,m,the American,A1,s01e02,s01e03 s01e05 s05e03,"americano, l'americano"
la brioche,noun,f,brioche,A1,s01e02,,"brioche, la brioche"
la carne,noun,f,meat,A1,s01e02,,"carne, la carne"
la domenica,noun,f,Sunday,A1,s01e02,s01e03 s01e05 s05e03,"domenica, la domenica"
la frutta,noun,f,fruit,A1,s01e02,,"frutta, la frutta"
la parola,noun,f,word,A1,s01e02,s01e03 s01e04 s01e05 s05e03,"la parola, parola, parole"
la pasta,noun,f,pasta,A1,s01e02,s01e05,"la pasta, pasta"
la tazza,noun,f,cup,A1,s01e02,s01e05 s05e03,"la tazza, tazza, tazze"
lo scontrino,noun,m,receipt,A1,s01e02,,"lo scontrino, scontrini, scontrino"
vorrei,expression,,I would like,A1,s01e02,,vorrei
aprire,verb,,to open,A1,s01e03,s01e04 s01e05 s05e03,"apre, apriamo, aprire, apro, aprono"
cercare,verb,,to look for,A1,s01e03,s01e04 s05e03,"cerca, cercano, cercare, cerchiamo, cerco"
grande,adjective,,big; large,A1,s01e03,s01e04 s01e05 s05e03,"grande, grandi"
il bagno,noun,m,bathroom,A1,s01e03,,"bagni, bagno, il bagno"
il corridoio,noun,m,hallway; corridor,A1,s01e03,s01e05,"corridoi, corridoio, il corridoio"
il divano,noun,m,sofa,A1,s01e03,s01e05,"divani, divano, il divano"
il foglio,noun,m,sheet of paper,A1,s01e03,,"fogli, foglio, il foglio"
il giardino,noun,m,garden,A1,s01e03,,"giardini, giardino, il giardino"
il letto,noun,m,bed,A1,s01e03,s05e03,"il letto, letti, letto"
la caffettiera,noun,f,coffee maker; moka pot,A1,s01e03,s01e05,"caffettiera, caffettiere, la caffettiera"
la camera,noun,f,bedroom,A1,s01e03,s01e05 s05e03,"camera, camere, la camera"
la cucina,noun,f,kitchen,A1,s01e03,s01e05 s05e03,"cucina, cucine, la cucina"
la porta,noun,f,door,A1,s01e03,s01e04 s01e05 s05e03,"la porta, porta, porte"
la scatola,noun,f,box,A1,s01e03,,"la scatola, scatola, scatole"
la sedia,noun,f,chair,A1,s01e03,s01e04 s01e05 s05e03,"la sedia, sedia, sedie"
la stanza,noun,f,room,A1,s01e03,s01e05,"la stanza, stanza, stanze"
mettere,verb,,to put,A1,s01e03,s01e04 s01e05 s05e03,"mette, mettere, mettiamo, metto, mettono"
pesante,adjective,,heavy,A1,s01e03,s01e05 s05e03,"pesante, pesanti"
piccolo,adjective,,small; little,A1,s01e03,s01e04 s01e05 s05e03,"piccola, piccole, piccoli, piccolo"
trovare,verb,,to find,A1,s01e03,s05e03,"trova, trovano, trovare, troviamo, trovo"
camminare,verb,,to walk,A1,s01e04,s01e05 s05e03,"cammina, camminano, camminare, camminiamo, cammino"
guardare,verb,,"to look at, to watch",A1,s01e04,s01e05 s05e03,"guarda, guardano, guardare, guardiamo, guardo"
il bar,noun,m,"bar, café",A1,s01e04,s01e05 s05e03,"bar, il bar"
il cancello,noun,m,gate,A1,s01e04,s05e03,"cancelli, cancello, il cancello"
il giornale,noun,m,newspaper,A1,s01e04,,"giornale, giornali, il giornale"
il negozio,noun,m,shop,A1,s01e04,,"il negozio, negozi, negozio"
il panificio,noun,m,bakery,A1,s01e04,,"il panificio, panifici, panificio"
il parco,noun,m,park,A1,s01e04,,"il parco, parchi, parco"
il supermercato,noun,m,supermarket,A1,s01e04,,"il supermercato, supermercati, supermercato"
il treno,noun,m,train,A1,s01e04,s05e03,"il treno, treni, treno"
l'avviso,noun,m,notice,A1,s01e04,,"avvisi, avviso, l'avviso"
l'ufficio,noun,m,office,A1,s01e04,s05e03,"l'ufficio, uffici, ufficio"
la banca,noun,f,bank,A1,s01e04,,"banca, banche, la banca"
la chiesa,noun,f,church,A1,s01e04,,"chiesa, chiese, la chiesa"
la farmacia,noun,f,pharmacy,A1,s01e04,s05e03,"farmacia, farmacie, la farmacia"
la fermata,noun,f,"stop (bus, tram)",A1,s01e04,,"fermata, fermate, la fermata"
la fontana,noun,f,fountain,A1,s01e04,,"fontana, fontane, la fontana"
la mappa,noun,f,map,A1,s01e04,,"la mappa, mappa, mappe"
la piazza,noun,f,square,A1,s01e04,,"la piazza, piazza, piazze"
la stazione,noun,f,station,A1,s01e04,,"la stazione, stazione, stazioni"
avere fame,expression,,to be hungry,A1,s01e05,,"avere fame, ha fame, hai fame, ho fame"
avere paura,expression,,to be afraid,A1,s01e05,s05e03,"avere paura, ha paura, hai paura, ho paura"
avere ragione,expression,,to be right,A1,s01e05,s05e03,"avere ragione, ha ragione, hai ragione, ho ragione"
avere sete,expression,,to be thirsty,A1,s01e05,,"avere sete, ha sete, hai sete, ho sete"
avere sonno,expression,,to be sleepy,A1,s01e05,,"avere sonno, ha sonno, hai sonno, ho sonno"
i genitori,noun,m,parents,A1,s01e05,,"genitori, i genitori"
i parenti,noun,m,relatives,A1,s01e05,,"i parenti, parenti"
il cugino,noun,m,cousin,A1,s01e05,,"cugini, cugino, il cugino"
il figlio,noun,m,son,A1,s01e05,s05e03,"figli, figlio, il figlio"
il fratello,noun,m,brother,A1,s01e05,,"fratelli, fratello, il fratello"
il marito,noun,m,husband,A1,s01e05,s05e03,"il marito, mariti, marito"
il nipote,noun,m,grandchild,A1,s01e05,,"il nipote, nipote, nipoti"
il nonno,noun,m,grandfather,A1,s01e05,s05e03,"il nonno, nonni, nonno"
il padre,noun,m,father,A1,s01e05,s05e03,"il padre, padre, padri"
l'anno,noun,m,year,A1,s01e05,s05e03,"anni, anno, l'anno"
la famiglia,noun,f,family,A1,s01e05,s05e03,"famiglia, famiglie, la famiglia"
la figlia,noun,f,daughter,A1,s01e05,s05e03,"figlia, figlie, la figlia"
la foto,noun,f,photo,A1,s01e05,,"foto, la foto"
la madre,noun,f,mother,A1,s01e05,s05e03,"la madre, madre, madri"
la moglie,noun,f,wife,A1,s01e05,,"la moglie, mogli, moglie"
la nonna,noun,f,grandmother,A1,s01e05,,"la nonna, nonna, nonne"
la sorella,noun,f,sister,A1,s01e05,s05e03,"la sorella, sorella, sorelle"
la zia,noun,f,aunt,A1,s01e05,,"la zia, zia, zie"
lo zio,noun,m,uncle,A1,s01e05,,"lo zio, zii, zio"
chiedere che,expression,,to ask (someone) to,B1,s05e03,,"chiede che, chiedere che, chiediamo che, chiedono che"
decidere,verb,,to decide,B1,s05e03,,"decide, decidere, decidi, decido"
firmare,verb,,to sign,B1,s05e03,,"firma, firmare, firmato"
il capo,noun,m,the boss,B1,s05e03,,"capi, capo, il capo"
il contratto,noun,m,the contract,B1,s05e03,,"contratti, contratto, il contratto"
il coraggio,noun,m,the courage,B1,s05e03,,"coraggio, il coraggio"
il dubbio,noun,m,the doubt,B1,s05e03,,"dubbi, dubbio, il dubbio"
il futuro,noun,m,the future,B1,s05e03,,"futuro, il futuro"
il messaggio,noun,m,the message,B1,s05e03,,"il messaggio, messaggi, messaggio"
il segreto,noun,m,the secret,B1,s05e03,,"il segreto, segreti, segreto"
il trasferimento,noun,m,"the move, the relocation",B1,s05e03,,"il trasferimento, trasferimenti, trasferimento"
l'azienda,noun,f,the company,B1,s05e03,,"azienda, aziende, l'azienda"
l'email,noun,f,the email,B1,s05e03,,"email, l'email"
l'offerta,noun,f,the offer,B1,s05e03,,"l'offerta, offerta, offerte"
la carriera,noun,f,the career,B1,s05e03,,"carriera, la carriera"
la decisione,noun,f,the decision,B1,s05e03,,"decisione, decisioni, la decisione"
la neve,noun,f,the snow,B1,s05e03,,"la neve, neve"
la promozione,noun,f,the promotion,B1,s05e03,,"la promozione, promozione, promozioni"
la proposta di lavoro,noun,f,the job proposal,B1,s05e03,,"la proposta di lavoro, proposta, proposta di lavoro, proposte"
la scelta,noun,f,the choice,B1,s05e03,,"la scelta, scelta, scelte"
la sede,noun,f,"the office, the headquarters",B1,s05e03,,"la sede, sede, sedi"
la verità,noun,f,the truth,B1,s05e03,,"la verità, verità"
lo stipendio,noun,m,the salary,B1,s05e03,,"lo stipendio, stipendi, stipendio"
lontano,adjective,,"far, far away",B1,s05e03,,"lontana, lontani, lontano"
marzo,noun,m,March,B1,s05e03,,marzo
nascondere,verb,,to hide,B1,s05e03,,"nasconde, nascondere, nascondo, nascosto"
preferire che,expression,,to prefer that,B1,s05e03,,"preferire che, preferisce che, preferisco che"
raddoppiare,verb,,to double,B1,s05e03,,"raddoppia, raddoppiare"
rispondere,verb,,"to answer, to reply",B1,s05e03,,"risponde, rispondere, rispondo, risposto"
sperare che,expression,,to hope that,B1,s05e03,,"spera che, sperare che, speriamo che, spero che"
tornare,verb,,"to come back, to go back",B1,s05e03,,"torna, tornano, tornare, torni, torniamo, torno"
trasferirsi,verb,,to move (to another country or house),B1,s05e03,,"ci trasferiamo, mi trasferisco, si trasferisce, trasferirsi, vi trasferite"
volere che,expression,,to want (someone) to,B1,s05e03,,"voglio che, vogliono che, volere che, vuole che"
