@vocab
il caffè | noun | m | coffee | caffè
il cappuccino | noun | m | cappuccino | cappuccino, cappuccini
il cornetto | noun | m | croissant | cornetto, cornetti
la brioche | noun | f | brioche | brioche
l'acqua | noun | f | water | acqua
il bicchiere | noun | m | glass | bicchiere, bicchieri
il latte | noun | m | milk | latte
la tazza | noun | f | cup | tazza, tazze
il tavolo | noun | m | table | tavolo, tavoli
il conto | noun | m | bill | conto
il bar | noun | m | bar, café | bar
il pranzo | noun | m | lunch | pranzo
la pasta | noun | f | pasta | pasta
il primo | noun | m | first course | primo, primi
il secondo | noun | m | main course | secondo, secondi
il dolce | noun | m | dessert | dolce, dolci
il pane | noun | m | bread | pane
la colazione | noun | f | breakfast | colazione
lo zucchero | noun | m | sugar | zucchero
il quaderno | noun | m | notebook | quaderno, quaderni
la parola | noun | f | word | parola, parole
il problema | noun | m | problem | problema, problemi
la foto | noun | f | photo | foto
vorrei | verb | | I would like | vorrei
per favore | expression | | please | per favore
grazie | interjection | | thank you | grazie
buono | adjective | | good, tasty | buono, buona, buoni, buone
nuovo | adjective | | new | nuovo, nuova, nuovi, nuove
@end

# SCENE bar-tigli | sabato mattina | ben, matteo, nadia
NADIA: Le **tazze** sono **nuove**. Ma il **problema** non è la **tazza**. || The **cups** are **new**. But the **problem** isn't the **cup**.
BEN: No? || No?
NADIA: Il **problema** è il **conto**. || The **problem** is the **bill**.
BEN: Ah. Prima il **caffè**, poi il **conto**. **Parole**, **nuove**! || Ah. First the **coffee**, then the **bill**. **Words**, **new** ones!
NARRATOR: Il **bar** è pieno adesso. Le **parole** sono tante. || The **bar** is full now. The **words** are many.
MATTEO [a Nadia]: Ha un **quaderno**! || He has a **notebook**!
NADIA [asciutta]: Meglio un **quaderno** che un **problema**. || Better a **notebook** than a **problem**.
NARRATOR: Matteo ride. Nadia non ride. || Matteo laughs. Nadia doesn't laugh.
BEN [dopo un momento]: Scusi, Matteo. Un'altra domanda. || Excuse me, Matteo. Another question.
MATTEO: Dimmi. || Tell me.
BEN: Il **cappuccino**... è **colazione**. Ma adesso è... le undici. || The **cappuccino**... it's **breakfast**. But now it's... eleven.
MATTEO: Sì. Undici. Va bene. Undici è ancora **colazione**. || Yes. Eleven. That's fine. Eleven is still **breakfast**.
BEN [scrive]: Undici... **colazione**. || Eleven... **breakfast**.
NARRATOR: Nadia prende la **tazza** vuota. || Nadia takes the empty **cup**.
NADIA: Ancora **caffè**? || More **coffee**?
BEN: No, **grazie**. Ma **vorrei**... un **cappuccino**. Domani. || No, **thank you**. But I'd **like**... a **cappuccino**. Tomorrow.
MATTEO: A **colazione**? || At **breakfast**?
BEN: A **colazione**. || At **breakfast**.
MATTEO [entusiasta]: Allora sei un cliente **nuovo**... e un cliente **buono**! || So you're a **new** customer... and a **good** customer!
NADIA [calma]: Il **caffè** è sempre **buono**. || The **coffee** is always **good**.
NARRATOR: Matteo mette un **cornetto** in un sacchetto. || Matteo puts a **croissant** in a bag.
MATTEO: Per domani. Offre il **bar**. || For tomorrow. The **bar**'s treat.
BEN [sorpreso]: **Grazie** mille! || **Thank you** very much!
NARRATOR: Ben prende il sacchetto e il **quaderno**. || Ben takes the bag and the **notebook**.
NARRATOR: Esce dal **bar** e saluta tutti. || He leaves the **bar** and greets everyone.
BEN [forte]: Arrivederci, Alberto! Arrivederci, Pietro! || Goodbye, Alberto! Goodbye, Pietro!
NARRATOR: Matteo guarda la porta. Nadia guarda la **foto** di Gino. || Matteo looks at the door. Nadia looks at Gino's **photo**.
MATTEO [dolce]: Ti piace? || Do you like him?
NADIA: Il **caffè** è sempre **buono**. || The **coffee** is always **good**.
NARRATOR: Matteo non capisce. Nadia torna alle scale. || Matteo doesn't understand. Nadia goes back to the stairs.

# CONFESSIONALE ben
BEN: Il mio **bar** è qui. || My **bar** is here.
BEN: Il **bar** Tigli. || Bar Tigli.
BEN: Il **caffè** qui è piccolo. Molto piccolo. || The **coffee** here is small. Very small.
BEN: Ma è forte e caldo. || But it's strong and hot.
BEN: Adesso imparo le **parole** **nuove**. || Now I'm learning **new** **words**.
BEN: Questo è il mio **quaderno**. || This is my **notebook**.
NARRATOR: Ben apre il **quaderno**. || Ben opens the **notebook**.
BEN: Nel **quaderno** ci sono dieci **parole**. || In the **notebook** there are ten **words**.
BEN: **Caffè**. **Cappuccino**. **Cornetto**. **Brioche**. || **Coffee**. **Cappuccino**. **Croissant**. **Brioche**.
BEN: La **colazione** è la mattina. || **Breakfast** is in the morning.
BEN: Il **cappuccino** è per la **colazione**. Solo **colazione**. || **Cappuccino** is for **breakfast**. Only **breakfast**.
BEN: E il **latte**? || And **milk**?
BEN: Il **latte** è **latte**. Solo **latte**. || **Milk** is **milk**. Only **milk**.
BEN: Il **caffè** con il **latte** è un **cappuccino**. || **Coffee** with **milk** is a **cappuccino**.
BEN: Ma il **latte** è **latte**. || But **milk** is **milk**.
BEN: Nel **quaderno** scrivo anche una frase. || In the **notebook** I also write a phrase.
BEN: La frase è: **Vorrei** un **caffè**, **per favore**. || The phrase is: I'd **like** a **coffee**, **please**.
BEN: **Vorrei** un **cornetto**, **per favore**. || I'd **like** a **croissant**, **please**.
BEN: **Vorrei** una **brioche**, **per favore**. || I'd **like** a **brioche**, **please**.
BEN: Dieci **parole**. Domani: venti. || Ten **words**. Tomorrow: twenty.

# SCENE bar-tigli | sabato pomeriggio, le quattro | ben, matteo, nadia
NARRATOR: È sabato pomeriggio. Sono le quattro. || It's Saturday afternoon. It's four o'clock.
NARRATOR: Nel **bar** Tigli ci sono solo due clienti. || In Bar Tigli there are only two customers.
BEN [allegro]: Buongiorno! || Good morning!
MATTEO: Ben! Buongiorno! || Ben! Good morning!
NADIA [asciutta]: È pomeriggio, Ben. Buon pomeriggio. || It's afternoon, Ben. Good afternoon.
BEN: Ah. Buon pomeriggio. || Ah. Good afternoon.
NARRATOR: Ben va al banco e apre il **quaderno**. || Ben goes to the counter and opens the **notebook**.
BEN: Allora... **Vorrei** un **cappuccino**, **per favore**. || So... I'd **like** a **cappuccino**, **please**.
NARRATOR: Matteo non si muove. Nadia guarda Ben. || Matteo doesn't move. Nadia looks at Ben.
MATTEO: Un **cappuccino**? || A **cappuccino**?
BEN: Sì. Un **cappuccino**. || Yes. A **cappuccino**.
NARRATOR: Matteo e Nadia si guardano. || Matteo and Nadia look at each other.
NADIA: Adesso? Alle quattro? || Now? At four?
BEN: Sì. Perché? || Yes. Why?
MATTEO: Il **cappuccino** è per la **colazione**. || **Cappuccino** is for **breakfast**.
BEN: Ma... la **colazione** è la mattina. || But... **breakfast** is in the morning.
NADIA: Sì. Esatto. || Yes. Exactly.
BEN: E adesso è... il pomeriggio. || And now it's... the afternoon.
MATTEO: Sì. Pomeriggio. || Yes. Afternoon.
NARRATOR: Ben guarda il **quaderno**. Poi guarda Matteo. || Ben looks at the **notebook**. Then he looks at Matteo.
BEN: Ma nel **quaderno** c'è scritto: **cappuccino**, **colazione**. || But in the **notebook** it says: **cappuccino**, **breakfast**.
MATTEO: Bravo! Nel **quaderno** è giusto. || Well done! In the **notebook** it's right.
NADIA: Il **cappuccino** dopo **pranzo** è un **problema**. || **Cappuccino** after **lunch** is a **problem**.
BEN: Un **problema**? || A **problem**?
NADIA: Un **problema**. || A **problem**.
NARRATOR: Ben pensa un momento. Poi chiude il **quaderno**. || Ben thinks for a moment. Then he closes the **notebook**.
BEN: Allora... **vorrei** un **latte**. || So... I'd **like** a **latte**.
NARRATOR: Nadia apre il frigorifero. || Nadia opens the fridge.
NADIA: Un **latte**. Subito. || A **latte**. Right away.
NARRATOR: Nadia prende una bottiglia. Il **latte** è freddo. || Nadia takes a bottle. The **latte** is cold.
NARRATOR: Mette un **bicchiere** sul banco. || She puts a **glass** on the counter.
NADIA: Ecco. Un **bicchiere** di **latte**. || Here you are. A **glass** of **latte**.
BEN [sorpreso]: **Latte**? || **Latte**?
NADIA: Sì. **Latte**. Freddo. || Yes. **Latte**. Cold.
NARRATOR: Ben guarda il **bicchiere**. Il **bicchiere** è pieno di **latte** bianco. || Ben looks at the **glass**. The **glass** is full of white **latte**.
BEN: Ma io... **vorrei** un **caffè**! Con il **latte**! || But I... I'd **like** a **coffee**! With **milk**!
MATTEO: Ah! Adesso capisco. || Ah! Now I understand.
BEN: In America il **latte** è **caffè** con **latte**. || In America a **latte** is **coffee** with **milk**.
MATTEO [lento, chiaro]: Ben. In italiano il **latte** è **latte**. || Ben. In Italian **milk** is **milk**.
NADIA: Solo **latte**. || Only **milk**.
MATTEO: Il **caffè** con il **latte** è un **cappuccino**. || **Coffee** with **milk** is a **cappuccino**.
BEN: Il **caffè** con il **latte**... è un **cappuccino**. || **Coffee** with **milk**... is a **cappuccino**.
MATTEO: Sì. **Cappuccino**. || Yes. **Cappuccino**.
NARRATOR: Ben prende il **quaderno** e scrive. || Ben takes the **notebook** and writes.
BEN [mentre scrive]: **Latte** uguale **latte**. **Caffè** con **latte** uguale **cappuccino**. || **Milk** equals **milk**. **Coffee** with **milk** equals **cappuccino**.
MATTEO: Perfetto! Due **parole** **nuove**! || Perfect! Two **new** **words**!
NADIA: Una **parola** è vecchia. **Latte** è **latte** anche in America. || One **word** is old. **Latte** is **latte** in America too.
BEN: Sì. Ma in America è **caffè**. || Yes. But in America it's **coffee**.
NADIA [ride]: Allora in America è un **problema** vostro. || So in America it's your **problem**.
NARRATOR: Ben beve il **latte** freddo. || Ben drinks the cold **latte**.
BEN: Il **latte** è **buono**. Ma **vorrei** anche un **caffè**. || The **latte** is **good**. But I'd also **like** a **coffee**.
MATTEO: Un **caffè**? Adesso? || A **coffee**? Now?
BEN: Sì. Un **caffè** piccolo. **Buono**. || Yes. A small **coffee**. **Good**.
NARRATOR: Matteo mette una **tazza** sul banco. || Matteo puts a **cup** on the counter.
NARRATOR: La **tazza** è piccola e bianca. || The **cup** is small and white.
MATTEO: Ecco il **caffè**. || Here's the **coffee**.
BEN: **Grazie**. || **Thank you**.
MATTEO: **Zucchero**? || **Sugar**?
BEN: No, **grazie**. Il **caffè** è **buono** senza **zucchero**. || No, **thank you**. **Coffee** is **good** without **sugar**.
MATTEO: Bravo! Un **caffè** senza **zucchero**. Sei un cliente **nuovo** e un cliente serio. || Well done! A **coffee** without **sugar**. You're a **new** customer and a serious customer.
NARRATOR: Nadia prende una **brioche** e un **cornetto**. || Nadia takes a **brioche** and a **croissant**.
NADIA: Anche un **cornetto**? O una **brioche**? || Also a **croissant**? Or a **brioche**?
BEN: No, **grazie**. Il **pranzo** è vicino. || No, **thank you**. **Lunch** is near.
MATTEO: Il **pranzo**? Adesso? || **Lunch**? Now?
BEN: Sì. Alle cinque. || Yes. At five.
NARRATOR: Matteo e Nadia si guardano un'altra volta. || Matteo and Nadia look at each other again.
NADIA: Alle cinque è tardi per il **pranzo**. || At five it's late for **lunch**.
MATTEO: Alle cinque è presto per la cena. || At five it's early for dinner.
BEN: In America il **pranzo** è alle dodici. || In America **lunch** is at twelve.
MATTEO: Mah! Borgoverde non è l'America. || Bah! Borgoverde isn't America.
NARRATOR: Ben prende la **tazza** e va verso la finestra. || Ben takes the **cup** and goes towards the window.
BEN: C'è un **tavolo** qui? || Is there a **table** here?
MATTEO: Sì. Un **tavolo** vicino alla finestra. || Yes. A **table** near the window.
NARRATOR: Ben mette la **tazza** sul **tavolo**. Poi si siede. || Ben puts the **cup** on the **table**. Then he sits down.
NARRATOR: Matteo arriva subito al **tavolo**. || Matteo comes to the **table** right away.
MATTEO: Ben. Il **conto**. || Ben. The **bill**.
BEN: Il **conto**? || The **bill**?
MATTEO: Sì. Prima il **conto**, poi il **tavolo**. || Yes. First the **bill**, then the **table**.
BEN: Prima il **conto**? || First the **bill**?
NADIA [dal banco]: Qui si paga prima. || Here you pay first.
BEN: Ah! Qui si paga prima. || Ah! Here you pay first.
MATTEO: Sì. Prima paghi, poi bevi. || Yes. First you pay, then you drink.
NARRATOR: Ben prende il portafoglio. || Ben takes his wallet.
BEN: Quanto? || How much?
MATTEO: Un **caffè**, un **latte**... due euro e cinquanta. || A **coffee**, a **latte**... two euros fifty.
NARRATOR: Ben paga e Matteo prende il **bicchiere** vuoto. || Ben pays and Matteo takes the empty **glass**.
BEN [scrive]: Prima il **conto**, poi il **tavolo**. || First the **bill**, then the **table**.
MATTEO: Bravo! Adesso è nel **quaderno**. || Well done! Now it's in the **notebook**.
BEN: Sì. Nel **quaderno** ci sono dodici **parole** **nuove**. || Yes. In the **notebook** there are twelve **new** **words**.
NADIA: Dodici **parole** e un **problema**: il **cappuccino** alle quattro. || Twelve **words** and one **problem**: **cappuccino** at four.
NARRATOR: Ben torna al **tavolo** con il **quaderno**. || Ben goes back to the **table** with the **notebook**.
NARRATOR: Beve il **caffè** e guarda la strada. || He drinks the **coffee** and looks at the street.
BEN [a Nadia]: Posso avere un po' d'**acqua**, **per favore**? || Can I have some **water**, **please**?
NADIA: Un **bicchiere** d'**acqua**. Subito. || A **glass** of **water**. Right away.
NARRATOR: Nadia mette l'**acqua** sul **tavolo**. || Nadia puts the **water** on the **table**.
BEN: **Grazie**. L'**acqua** è **buona**, ma il **caffè** è meglio. || **Thank you**. The **water** is **good**, but the **coffee** is better.
NADIA [soddisfatta]: Il **caffè** è sempre **buono**. || The **coffee** is always **good**.
NARRATOR: Ben finisce il **caffè**. Poi si alza. || Ben finishes the **coffee**. Then he gets up.
BEN: Arrivederci! A domani! || Goodbye! See you tomorrow!
MATTEO: A domani, Ben! || See you tomorrow, Ben!
NARRATOR: Ben esce dal **bar**. La porta si chiude. || Ben leaves the **bar**. The door closes.
MATTEO [a Nadia]: Un **cappuccino** alle quattro! || A **cappuccino** at four!
NADIA: Un **caffè** alle cinque è meglio. || A **coffee** at five is better.
MATTEO: Hai ragione. Ma è **nuovo** e **buono** come cliente. || You're right. But he's **new** and **good** as a customer.
NADIA: Sì. E il **conto** lo paga. || Yes. And he pays the **bill**.
NARRATOR: Matteo pulisce il **tavolo** e ride. || Matteo wipes the **table** and laughs.

# CONFESSIONALE leo
LEO: Domenica c'è il **pranzo** da nonno Franco. || On Sunday there's **lunch** at Grandpa Franco's.
LEO: Il **pranzo** italiano è lungo. Molto lungo. || Italian **lunch** is long. Very long.
LEO: Il **pranzo** è alle dodici e mezza. || **Lunch** is at half past twelve.
LEO: Prima c'è il **primo**. || First there's the **first course**.
LEO: Il **primo** è la **pasta**. || The **first course** is **pasta**.
LEO: La **pasta** è rossa. Con i pomodori. || The **pasta** is red. With tomatoes.
NARRATOR: Leo conta sulle dita. || Leo counts on his fingers.
LEO: Poi c'è il **secondo**. || Then there's the **second course**.
LEO: Il **secondo** è la carne. O il pesce. || The **second course** is meat. Or fish.
LEO: Il **primo** non è il **secondo**. Sono due cose. || The **first course** isn't the **second course**. They're two things.
LEO: Poi c'è il **dolce**. || Then there's the **dolce**.
LEO: Il **dolce** è la torta. O il gelato. || The **dolce** is cake. Or ice cream.
LEO: E c'è il **pane**. || And there's **bread**.
LEO: Il **pane** è **pane**. Solo **pane**. Non è **primo**, non è **secondo**. || **Bread** is **bread**. Only **bread**. It's not a **first course**, it's not a **second course**.
LEO: Io il **pane** lo mangio con tutto. || I eat **bread** with everything.
LEO: Papà mangia la **pasta** e dice: "Il **primo** è il **secondo**!" || Dad eats the **pasta** and says: "The **first course** is the **second course**!"
NARRATOR: Leo ride. || Leo laughs.
LEO: Ma il **primo** è il **primo**! La nonna lo sa. Il nonno lo sa. || But the **first course** is the **first course**! Grandma knows. Grandpa knows.
LEO: Il **pranzo** è lungo e **buono**. || The **lunch** is long and **good**.

# SCENE casa-franco | domenica, ora di pranzo | ben, chiara, emma, leo, franco
NARRATOR: È domenica. Sono le dodici e mezza. || It's Sunday. It's half past twelve.
NARRATOR: Casa di Franco è in Via dei Tigli 9. || Franco's house is at Via dei Tigli 9.
NARRATOR: La porta è aperta. C'è profumo di **pasta** e di **pane**. || The door is open. There's the smell of **pasta** and **bread**.
FRANCO [forte, dal corridoio]: Leo! Emma! Venite, venite! || Leo! Emma! Come in, come in!
LEO: Ciao, nonno! || Hi, Grandpa!
EMMA: Ciao, nonno. || Hi, Grandpa.
CHIARA: Ciao, papà. || Hi, Dad.
BEN [allegro]: Buongiorno, Franco! || Good morning, Franco!
NARRATOR: Franco guarda Ben. Poi guarda Chiara. || Franco looks at Ben. Then he looks at Chiara.
NARRATOR: Franco non dice niente. || Franco says nothing.
NARRATOR: Franco abbraccia Leo e poi Emma. || Franco hugs Leo and then Emma.
FRANCO: Chiara. || Chiara.
CHIARA: Papà. || Dad.
FRANCO: Entrate. Il **pranzo** è pronto. || Come in. **Lunch** is ready.
LEO: Che cosa c'è? || What is there?
FRANCO: C'è il **primo**. Poi il **secondo**. || There's the **first course**. Then the **second course**.
LEO: E il **dolce**? || And **dolce**?
FRANCO: Anche il **dolce**. Sempre. || **Dolce** too. Always.
NARRATOR: Franco entra in casa. || Franco goes into the house.
NARRATOR: Ben è ancora fuori, sulla porta. || Ben is still outside, at the door.
BEN [forte]: Franco? Sono qui! || Franco? I'm here!
CHIARA [sospira]: Papà, Ben è dietro di te. || Dad, Ben is behind you.
FRANCO: Mah. || Bah.
NARRATOR: Chiara prende Ben per un braccio. Insieme entrano. || Chiara takes Ben by the arm. Together they go in.
FRANCO: A **tavolo**! Sedetevi. || To the **table**! Sit down.
NARRATOR: Il **tavolo** è grande. È un **tavolo** per sei persone. || The **table** is big. It's a **table** for six people.
NARRATOR: Sopra il **tavolo** ci sono piatti, **bicchieri** e **pane**. || On the **table** there are plates, **glasses** and **bread**.
LEO: Nonno, perché ci sono tanti **bicchieri**? || Grandpa, why are there so many **glasses**?
FRANCO: Un **bicchiere** per l'**acqua**. Un **bicchiere** per il vino. || One **glass** for **water**. One **glass** for wine.
LEO: E un **bicchiere** per il **caffè**? || And one **glass** for **coffee**?
FRANCO: No. Il **caffè** ha la sua tazzina. || No. **Coffee** has its own little cup.
BEN: La tazzina. Piccola. || The little cup. Small.
FRANCO: Sì. Piccola. || Yes. Small.
NARRATOR: Ben prende un **bicchiere** e beve un po' d'**acqua**. || Ben takes a **glass** and drinks some **water**.
BEN: L'**acqua** è **buona**. **Grazie**. || The **water** is **good**. **Thank you**.
NARRATOR: Franco non risponde. Mette il **pane** al centro. || Franco doesn't answer. He puts the **bread** in the middle.
FRANCO: Il **pane** è fresco. || The **bread** is fresh.
LEO: Il **pane** è **buono**! || The **bread** is **good**!
NARRATOR: Franco porta l'antipasto. Prosciutto e melone. || Franco brings the starter. Prosciutto and melon.
EMMA: Grazie, nonno. || Thank you, Grandpa.
NARRATOR: Tutti mangiano l'antipasto. Ben mangia in fretta. || Everyone eats the starter. Ben eats quickly.
BEN: Buono! Molto **buono**! || Good! Very **good**!
